mess_datum;stations_id;tmk;altitude;latitude;longitude;name;state
2016-05-01;1078;9.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-02;1078;11.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-03;1078;11.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-04;1078;9.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-05;1078;12.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-06;1078;17.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-07;1078;19.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-08;1078;20.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-09;1078;19.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-10;1078;18.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-11;1078;19.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-12;1078;19.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-13;1078;17.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-14;1078;9.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-15;1078;8.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-16;1078;9.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-17;1078;13.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-18;1078;14.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-19;1078;13.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-20;1078;14.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-21;1078;18.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-22;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-23;1078;12.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-24;1078;11.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-25;1078;13;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-26;1078;16.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-27;1078;18;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-28;1078;18.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-29;1078;17.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-30;1078;17.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-31;1078;17.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-01;1078;17.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-02;1078;18.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-03;1078;18.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-04;1078;19;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-05;1078;20.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-06;1078;20.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-07;1078;19.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-08;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-09;1078;15.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-10;1078;16.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-11;1078;17.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-12;1078;16.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-13;1078;16;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-14;1078;16.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-15;1078;14.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-16;1078;14.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-17;1078;14.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-18;1078;14.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-19;1078;14.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-20;1078;15.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-21;1078;17.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-22;1078;20.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-23;1078;25;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-24;1078;21.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-25;1078;15.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-26;1078;14.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-27;1078;15.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-28;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-29;1078;17.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-06-30;1078;18.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-01;1078;10.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-02;1078;9.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-03;1078;10.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-04;1078;10.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-05;1078;9.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-06;1078;13.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-07;1078;12.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-08;1078;9.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-09;1078;8.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-10;1078;10.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-11;1078;15.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-12;1078;17.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-13;1078;17.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-14;1078;15.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-15;1078;16.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-16;1078;21.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-17;1078;24.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-18;1078;18;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-19;1078;13.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-20;1078;13.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-21;1078;15.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-22;1078;18.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-23;1078;19.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-24;1078;16.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-25;1078;16.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-26;1078;19.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-27;1078;24.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-28;1078;21.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-29;1078;26;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-30;1078;21.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-05-31;1078;18.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-01;1078;18.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-02;1078;22.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-03;1078;20.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-04;1078;16.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-05;1078;17.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-06;1078;16;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-07;1078;14.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-08;1078;18.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-09;1078;17.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-10;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-11;1078;22.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-12;1078;17.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-13;1078;16.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-14;1078;18.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-15;1078;21.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-16;1078;17.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-17;1078;17.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-18;1078;21.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-19;1078;23.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-20;1078;24.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-21;1078;23.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-22;1078;26.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-23;1078;21.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-24;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-25;1078;19.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-26;1078;19.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-27;1078;18.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-28;1078;19.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-29;1078;19;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2017-06-30;1078;18.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-01;1078;9.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-02;1078;12.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-03;1078;12.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-04;1078;13.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-05;1078;15.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-06;1078;17.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-07;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-08;1078;19.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-09;1078;21;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-10;1078;14.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
