Buying-Price,Maint-Price,Door-Numbers,Total-Persons,Lug_Boot,Safety,CarClass
4,4,2,2,1,1,Unacceptable
4,4,2,2,1,2,Unacceptable
4,4,2,2,1,3,Unacceptable
4,4,2,2,2,1,Unacceptable
4,4,2,2,2,2,Unacceptable
4,4,2,2,2,3,Unacceptable
4,4,2,2,3,1,Unacceptable
4,4,2,2,3,2,Unacceptable
4,4,2,2,3,3,Unacceptable
4,4,2,4,1,1,Unacceptable
4,4,2,4,1,2,Unacceptable
4,4,2,4,1,3,Unacceptable
4,4,2,4,2,1,Unacceptable
4,4,2,4,2,2,Unacceptable
4,4,2,4,2,3,Unacceptable
4,4,2,4,3,1,Unacceptable
4,4,2,4,3,2,Unacceptable
4,4,2,4,3,3,Unacceptable
4,4,2,5,1,1,Unacceptable
4,4,2,5,1,2,Unacceptable
4,4,2,5,1,3,Unacceptable
4,4,2,5,2,1,Unacceptable
4,4,2,5,2,2,Unacceptable
4,4,2,5,2,3,Unacceptable
4,4,2,5,3,1,Unacceptable
4,4,2,5,3,2,Unacceptable
4,4,2,5,3,3,Unacceptable
4,4,3,2,1,1,Unacceptable
4,4,3,2,1,2,Unacceptable
4,4,3,2,1,3,Unacceptable
4,4,3,2,2,1,Unacceptable
4,4,3,2,2,2,Unacceptable
4,4,3,2,2,3,Unacceptable
4,4,3,2,3,1,Unacceptable
4,4,3,2,3,2,Unacceptable
4,4,3,2,3,3,Unacceptable
4,4,3,4,1,1,Unacceptable
4,4,3,4,1,2,Unacceptable
4,4,3,4,1,3,Unacceptable
4,4,3,4,2,1,Unacceptable
4,4,3,4,2,2,Unacceptable
4,4,3,4,2,3,Unacceptable
4,4,3,4,3,1,Unacceptable
4,4,3,4,3,2,Unacceptable
4,4,3,4,3,3,Unacceptable
4,4,3,5,1,1,Unacceptable
4,4,3,5,1,2,Unacceptable
4,4,3,5,1,3,Unacceptable
4,4,3,5,2,1,Unacceptable
4,4,3,5,2,2,Unacceptable
4,4,3,5,2,3,Unacceptable
4,4,3,5,3,1,Unacceptable
4,4,3,5,3,2,Unacceptable
4,4,3,5,3,3,Unacceptable
4,4,4,2,1,1,Unacceptable
4,4,4,2,1,2,Unacceptable
4,4,4,2,1,3,Unacceptable
4,4,4,2,2,1,Unacceptable
4,4,4,2,2,2,Unacceptable
4,4,4,2,2,3,Unacceptable
4,4,4,2,3,1,Unacceptable
4,4,4,2,3,2,Unacceptable
4,4,4,2,3,3,Unacceptable
4,4,4,4,1,1,Unacceptable
4,4,4,4,1,2,Unacceptable
4,4,4,4,1,3,Unacceptable
4,4,4,4,2,1,Unacceptable
4,4,4,4,2,2,Unacceptable
4,4,4,4,2,3,Unacceptable
4,4,4,4,3,1,Unacceptable
4,4,4,4,3,2,Unacceptable
4,4,4,4,3,3,Unacceptable
4,4,4,5,1,1,Unacceptable
4,4,4,5,1,2,Unacceptable
4,4,4,5,1,3,Unacceptable
4,4,4,5,2,1,Unacceptable
4,4,4,5,2,2,Unacceptable
4,4,4,5,2,3,Unacceptable
4,4,4,5,3,1,Unacceptable
4,4,4,5,3,2,Unacceptable
4,4,4,5,3,3,Unacceptable
4,4,5,2,1,1,Unacceptable
4,4,5,2,1,2,Unacceptable
